 itemName, reqLev, mainstat, substat1, substat2, attmag, set, bossDMG, penetrate, itemImg
 앱솔랩스 비트해머,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMAJFLB.png
 앱솔랩스 브로드세이버,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELCJFLA.png
 앱솔랩스 브로드엑스,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELDJGGD.png
 앱솔랩스 브로드해머,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELAJGGF.png
 앱솔랩스 피어싱스피어,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELBJFPF.png
 앱솔랩스 핼버드,160,60,60,0,184,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELGJFIJ.png
 앱솔랩스 데스페라도,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENBJGOI.png
 앱솔랩스 파일갓,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEKKJHPG.png
 앱솔랩스 튜너,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENDIHPG.png
 앱솔랩스 스펠링완드,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMFJFMI.png
 앱솔랩스 스펠링스태프,160,60,60,0,245,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMKJFLI.png
 앱솔랩스 샤이닝로드,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENDJGPE.png
 앱솔랩스 ESP리미터,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENEJHPG.png
 앱솔랩스 매직 건틀렛,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENKJHPH.png
 앱솔랩스 슈팅보우,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELHJFLD.png
 앱솔랩스 크로스보우,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELEJFNI.png
 앱솔랩스 듀얼보우건,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEKAJGNJ.png
 앱솔랩스 에인션트 보우,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEKLJHPI.png
 앱솔랩스 리벤지가즈,160,60,60,0,103,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELFJFIA.png
 앱솔랩스 슬래셔,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 핀쳐케인,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMEJGNE.png
 앱솔랩스 에너지소드,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENGJGMB.png
 앱솔랩스 체인,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENFJHPH.png
 앱솔랩스 괴선,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENLJHPG.png
 앱솔랩스 블로우너클,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELKJFPH.png
 앱솔랩스 포인팅건,160,60,60,0,150,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELLJFNA.png
 앱솔랩스 블래스트캐논,160,60,60,0,210,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEKBJGKF.png
 앱솔랩스 소울슈터,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENAJGOI.png
 앱솔랩스 브레스 슈터,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KENDPHMJ.png
 앱솔랩스 차크람,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KELCPHPG.png
 아케인셰이드 세이버,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMCJEKC.png
 아케인셰이드 엑스,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMDJFPE.png
 아케인셰이드 해머,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMAJFLE.png
 아케인셰이드 투핸드소드,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELCJFLI.png
 아케인셰이드 투핸드엑스,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELDJGHA.png
 아케인셰이드 투핸드해머,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELDJGGA.png
 아케인셰이드 스피어,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELBJFPJ.png
 아케인셰이드 폴암,200,100,100,0,264,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELGJFJF.png
 아케인셰이드 데스페라도,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENBJGPC.png
 아케인셰이드 엘라하,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEKKJHMC.png
 아케인셰이드 튜너,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENDIHPJ.png
 아케인셰이드 완드,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMFJFMJ.png
 아케인셰이드 스태프,200,100,100,0,353,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMKJFIE.png
 아케인셰이드 샤이닝로드,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENDJGMB.png
 아케인셰이드 ESP리미터,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENEJHLC.png
 아케인셰이드 매직 건틀렛,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENKJHPG.png
 아케인셰이드 보우,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELHJFLG.png
 아케인셰이드 크로스보우,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELEJFKC.png
 아케인셰이드 듀얼보우건,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEKAJGKC.png
 아케인셰이드 에인션트 보우,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEKLJHMB.png
 아케인셰이드 가즈,200,100,100,0,149,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELFJFIE.png
 아케인셰이드 대거,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 케인,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMEJGKB.png
 아케인셰이드 에너지소드,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENGJGMD.png
 아케인셰이드 체인,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENFJHPG.png
 아케인셰이드 초선,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENLJHPJ.png
 아케인셰이드 클로,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELKJFMA.png
 아케인셰이드 피스톨,200,100,100,0,216,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELLJFNE.png
 아케인셰이드 시즈건,200,100,100,0,302,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEKBJGLB.png
 아케인셰이드 소울슈터,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENAJGPC.png
 아케인셰이드 브레스 슈터,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KENDPHNB.png
 아케인셰이드 차크람,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KELCPHPJ.png
